name;director;runtime;release;music;budget;boxoffice;tomatometer;audiencescore;budget_adj;boxoffice_adj;Franchise
4: Pirates of the Caribbean: On Stranger Tides;Rob Marshall;137;07.05.2011;Hans Zimmer;410;1046;33;54;465,9898565;1188,842414;Pirates of the Caribbean
5: Pirates of the Caribbean: Dead Men Tell No Tales;Joachim Ronning;129;11.05.2017;Geoff Zanelli;275;794,9;29;61;286,8214548;829,0704524;Pirates of the Caribbean
1: First Blood;Ted Kotcheff;93;22.10.1982;Jerry Goldsmith;15;125,2;85;85;39,73943005;331,6917762;Rambo
2: Rambo: First Blood Part II;George P. Cosmatos;96;22.05.1985;Jerry Goldsmith;25,5;300,4;35;60;60,6066331;713,9699052;Rambo
3: Rambo III;Peter MacDonald;101;25.05.1988;Jerry Goldsmith;60;189;39;45;129,7111127;408,5900049;Rambo
4: Rambo;Sylvester Stallone;91;25.01.2008;Brian Tyler;50;113,2;38;69;59,37158184;134,4172613;Rambo
5: Rambo: Last Blood;Adrian Grünberg;101;20.09.2019;Brian Tyler;50;178,8;26;82;50;178,8;Rambo
1: Pitch Black;David Twohy;104;18.02.2000;Graeme Revell;23;53,2;60;77;34,14698606;78,98346341;Riddick
2: The Chronicles of Riddick;David Twohy;119;11.06.2004;Graeme Revell;105;115,8;29;65;142,1193947;156,7373896;Riddick
3: Riddick;David Twohy;119;04.09.2013;Graeme Revell;38;98,3;57;56;41,70281436;107,8785961;Riddick
1: Rocky;John G. Avildsen;119;21.11.1976;Bill Conti;0,96;225;94;69;4,312737795;1010,797921;Rocky
2: Rocky II;Sylvester Stallone;120;15.06.1979;Bill Conti;7;200,2;71;82;24,65861523;705,2363955;Rocky
3: Rocky III;Sylvester Stallone;100;28.05.1982;Bill Conti;17;270;63;74;45,03802073;715,3097409;Rocky
4: Rocky IV;Sylvester Stallone;90;21.11.1985;Vince DiCola;28;300,4;40;79;66,54845987;713,9699052;Rocky
5: Rocky V;John G. Avildsen;104;16.11.1990;Bill Conti;42;119,9;31;31;82,1807054;234,6063471;Rocky
6: Rocky Balboa;Sylvester Stallone;102;20.12.2006;Bill Conti;24;156,2;77;76;30,43661527;198,0916377;Rocky
7: Creed;Ryan Coogler;133;19.11.2015;Ludwig Göransson;38;173,6;95;89;40,98847762;187,2526241;Rocky
8: Creed II;Steven Caple Jr.;130;14.11.2018;Ludwig Göransson;50;214,1;83;79;50,90598828;217,9794418;Rocky
1: Scary Movie;Keenen Ivory Wayans;88;07.07.2000;David Kitay;19;278;53;43;28,20837979;412,7331359;Scary Movie
2: Scary Movie 2;Keenen Ivory Wayans;82;04.07.2001;Mark McGrath;45;141,2;15;52;64,97307041;203,8710565;Scary Movie
3: Scary Movie 3;David Zucker;84;20.10.2003;James L. Venable;48;220,7;35;54;66,70823647;306,7189123;Scary Movie
4: Scary Movie 4;David Zucker;83;14.04.2006;James L. Venable;40;178,3;35;51;50,72769212;226,1186876;Scary Movie
5: Scary Movie 5;Malcolm D. Lee;86;12.04.2013;James L. Venable;20;78,4;4;38;21,94884966;86,03949068;Scary Movie
1: Fifty Shades of Grey;Sam Taylor-Johnson;128;09.02.2015;Danny Elfman;40;569,7;25;41;43,14576592;614,5035711;Fifty Shades Of Gray
2: Fifty Shades Darker;James Foley;131;07.02.2017;Danny Elfman;55;381;11;48;57,36429096;397,3780883;Fifty Shades Of Gray
3: Fifty Shades Freed ;James Foley;110;06.02.2018;Danny Elfman;55;372;11;37;55,99658711;378,7405528;Fifty Shades Of Gray
1: Star Trek: The Motion Picture;Robert Wise;132;07.12.1979;Jerry Goldsmith;44;139;41;42;154,99701;489,6496452;Star Trek
2: Star Trek II: The Wrath of Khan;Nicholas Meyer;113;04.06.1982;James Horner;12;97;88;90;31,79154404;256,9816477;Star Trek
3: Star Trek III: The Search for Spock;Leonard Nimoy;105;01.06.1984;James Horner;16;87;79;61;39,37601797;214,1070977;Star Trek
4: Star Trek IV: The Voyage Home;Leonard Nimoy;122;26.11.1986;Leonard Rosenman;21;133;81;81;48,98164981;310,2171155;Star Trek
5: Star Trek V: The Final Frontier;William Shatner;106;09.06.1989;Jerry Goldsmith;33;63;21;24;68,05604464;129,9251761;Star Trek
6: Star Trek VI: The Undiscovered Country;Nicholas Meyer;110;06.12.1991;Cliff Eidelman;27;96,9;82;83;50,68400416;181,8992594;Star Trek
7: Star Trek Generations;David Carson;118;18.11.1994;Dennis McCarthy;35;118;48;57;60,36765053;203,5252218;Star Trek
8: Star Trek: First Contact;Jonathan Frakes;111;22.11.1996;Jerry Goldsmith;45;146;92;89;73,34756136;237,972088;Star Trek
9: Star Trek: Insurrection;Jonathan Frakes;103;11.12.1998;Jerry Goldsmith;70;117,8;54;44;109,7857369;184,7537116;Star Trek
10: Star Trek: Nemesis;Stuart Baird;116;13.12.2002;Jerry Goldsmith;60;67,3;38;49;85,27822099;95,65373787;Star Trek
12: Star Trek;J. J. Abrams;127;07.04.2009;Michael Giacchino;150;385,7;94;91;178,7502855;459,6265674;Star Trek
11: Star Trek  Into Darkness;J. J. Abrams;132;23.04.2013;Michael Giacchino;187;467,4;84;89;205,2217443;512,9446166;Star Trek
13: Star Trek Beyond;Justin Lin;122;07.07.2016;Michael Giacchino;185;343,5;86;80;197,0631898;365,8984092;Star Trek
1: Star Wars;George Lucas;121;25.05.1977;John Williams;11;775,8;92;96;46,4000055;3272,465842;Star Wars
2: The Empire Strikes Back;Irvin Kershner;124;17.05.1980;John Williams;33;550,9;94;97;102,3765517;1709,06795;Star Wars
3: Return of the Jedi;Richard Marquand;132;25.05.1983;John Williams;32,5;475,3;82;94;83,42221386;1220,017792;Star Wars
4: Star Wars: Episode I – The Phantom Menace;George Lucas;136;16.05.1999;John Williams;115;1027;52;59;176,5004052;1576,225358;Star Wars
5: Star Wars: Episode II – Attack of the Clones;George Lucas;142;12.05.2002;John Williams;115;653,8;65;56;163,4499236;929,248348;Star Wars
